id,id_groupement,nom,created_by,created_on,updated_by,updated_on,longitude,latitude
1386,43,MUNGULI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1387,62,MUNGWANGERI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1388,24,MUNINI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1389,43,MUNKONDI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1390,34,MUNONGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1391,16,MUNYAGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1392,71,MUNYENENE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1393,45,MUNZANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1394,60,MUOTE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1395,9,MUPFO/BAPFUNA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1396,15,MUPFO/BIIRI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1397,10,MUPFO/B-KAEMBE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1398,11,MUPFO/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1399,60,MUPFUNI SHANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1400,57,MUPFUNZI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1401,24,MURAMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1402,16,MURAMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1403,7,MURAMBI/BANYUNGU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1404,11,MURAMBI/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1405,24,MURAMBI/BUKOMBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1406,40,MURAMBI/KAMURONZA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1407,41,MURAMBI/KANYABAYONGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1408,59,MURAMBI/M-MATANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1409,60,MURAMBI/M-SHANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1410,59,MURAMBI/MUPFUNI MATANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1411,60,MURAMBI/MUPFUNI SHANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1412,24,MURANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1413,11,MUREHA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1414,73,MUREMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1415,73,MURIMWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1416,43,MURINGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1417,43,MURIRI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1418,11,MUROBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1419,35,MURONGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1420,43,MURONGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1421,44,MURORI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1422,36,MURUHA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1423,42,MURURU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1424,78,MUSAMBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1425,43,MUSASA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1426,4,MUSAYI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1427,44,MUSEZERO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1428,43,MUSGWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1429,24,MUSHABABWE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1430,43,MUSHAGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1431,59,MUSHAKI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1432,11,MUSHAKI/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1433,57,MUSHAKI/M-KARUBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1434,59,MUSHAKI/M-MATANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1435,11,MUSHE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1436,73,MUSHEBERE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1437,62,MUSHEKIRI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1438,4,MUSHINDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1439,16,MUSHINGA1,Olivier,14:03.8,NULL,NULL,NULL,NULL
1440,44,MUSHORO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1441,19,MUSHUBANGABO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1442,57,MUSHUHE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1443,60,MUSHUIRA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1444,27,MUSHUMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1445,80,MUSHUNGUTI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1446,58,MUSHWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1447,43,MUSHWAGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1448,29,MUSINGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1449,16,MUSONGATI/BINZA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1450,10,MUSONGATI/B-KAEMBE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1451,65,MUSONGE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1452,60,MUSOVU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1453,16,MUSUMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1454,27,MUTABO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1455,78,MUTAHO/WALOA,Olivier,14:03.8,Olivier,27:36.1,0,0
1456,6,MUTAKATO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1457,11,MUTALUNGWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1458,62,MUTANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1459,10,MUTANDA/B-KAEMBE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1460,11,MUTERA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1461,71,MUTERESI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1462,4,MUTI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1463,11,MUTIKO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1464,73,MUTINDI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1465,73,MUTINGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1466,15,MUTIRI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1467,11,MUTOBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1468,9,MUTOBO/BAPFUNA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1469,43,MUTOBORE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1470,62,MUTOHA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1471,11,MUTONGO/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1472,34,MUTONGO/IHANA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1473,71,MUTORIRWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1474,30,MUTOVU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1475,6,MUTOYO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1476,44,MUTSIHIRO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1477,7,MUTSIMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1478,4,MUTULIRO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1479,42,MUTUZA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1480,24,MUTWANGANO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1481,4,MUUMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1482,57,MUUMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1483,9,MUVO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1484,41,MUYAGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1485,16,MUZINGA1,Olivier,14:03.8,NULL,NULL,NULL,NULL
1486,62,MUZINGIRO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1487,24,MUZITO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1488,11,MVUNDU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1489,11,MWAMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1490,10,MWAMVURA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1491,11,MWANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1492,13,MWEKWE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1493,15,MWENDABANDU/BIIRI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1494,11,MWENDABANDU/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1495,11,MWENDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1496,11,MWESO,Olivier,14:03.8,NULL,NULL,NULL,NULL
